"StationId","StationName","CountyName","TownName","StationLatitude","StationLongitude","StationAltitude","DateTime","Past1hr","Past10Min","Past3hr","Past6hr","Past12hr","Past24hr","NOW","Past2days","Past3days"
"467490","臺中","臺中市","北區","24.145737","120.684074","84.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"467571","新竹","新竹縣","竹北市","24.827852","121.01422","26.9","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"C1I230","九份二山","南投縣","國姓鄉","23.962025","120.84527","837.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"466940","基隆","基隆市","仁愛區","25.133314","121.74048","26.7","2024-11-11 08:10:00","1","0.5","1","1","1","2","1","2.5","50.5"
"466900","淡水","新北市","淡水區","25.164888","121.448906","19.0","2024-11-11 08:10:00","0","0","0.5","1","1","1","1","1","1.5"
"466881","新北","新北市","新店區","24.959328","121.52433","24.1","2024-11-11 08:10:00","1","0","2","2.5","2.5","3.5","2.5","5","11"
"466930","陽明山","臺北市","北投區","25.162079","121.54455","607.1","2024-11-11 08:10:00","1.5","0.5","4.5","11","15","15","14","17.5","36.5"
"466910","鞍部","臺北市","北投區","25.182587","121.52973","832.6","2024-11-11 08:10:00","1","0.5","3.5","5.5","9.5","11.5","8","18","52"
"467290","古坑","雲林縣","古坑鄉","23.633638","120.55188","90.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAUB50","國五S047K","宜蘭縣","羅東鎮","24.675455","121.79458","38.0","2024-11-11 08:10:00","0","0","0","2","2","3","2","5","9"
"CAUB40","國五S041K","宜蘭縣","壯圍鄉","24.734764","121.78192","37.0","2024-11-11 08:10:00","0","0","0.5","1","1","1","1","1","1.5"
"CAUB30","國五S031K","宜蘭縣","礁溪鄉","24.819143","121.78237","40.0","2024-11-11 08:10:00","0","0","0","0.5","0.5","0.5","0.5","0.5","1"
"CAAD90","國五N013K","新北市","坪林區","24.947603","121.7055","280.0","2024-11-11 08:10:00","0.5","0","1","1","1.5","1.5","1.5","1.5","11"
"CAAD80","國五N008K","新北市","石碇區","24.98241","121.66808","217.0","2024-11-11 08:10:00","2","0.5","3.5","5.5","6.5","7.5","6.5","9.5","22"
"CAAD70","國五S006K","新北市","石碇區","24.989964","121.65697","187.0","2024-11-11 08:10:00","2","0.5","3.5","6","6.5","8.5","6.5","10.5","25.5"
"CAAD60","國五S005K","新北市","石碇區","24.996414","121.65193","154.0","2024-11-11 08:10:00","2.5","0","5","7.5","8","8.5","8","10.5","24.5"
"CAC770","國三N072K","桃園市","龍潭區","24.836391","121.19937","313.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"C2A650","火燒寮","新北市","平溪區","25.00272","121.74289","287.0","2024-11-11 08:10:00","1","0","3","6.5","8.5","11","8","18","42.5"
"C2A660","瑞芳","新北市","瑞芳區","25.113169","121.80114","97.0","2024-11-11 08:10:00","5.5","3","5.5","6","6","13","6","15.5","87"
"C2M620","瑞里","嘉義縣","梅山鄉","23.545134","120.67519","1252.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","5"
"C2A560","福山","新北市","烏來區","24.776203","121.50281","405.0","2024-11-11 08:10:00","0","0","0","0.5","0.5","0.5","0.5","3","5"
"C2A540","四堵","新北市","坪林區","24.8926","121.74573","401.0","2024-11-11 08:10:00","0","0","0","0.5","0.5","0.5","0.5","1.5","6"
"C2A880","福隆","新北市","貢寮區","25.017841","121.94208","6.0","2024-11-11 08:10:00","0","0","0","0","0.5","2","0.5","3","61.5"
"C2A920","富貴角","新北市","石門區","25.263783","121.56525","196.0","2024-11-11 08:10:00","0","0","0.5","0.5","3.5","5.5","0.5","6","78"
"C2F860","梨山","臺中市","和平區","24.247522","121.24366","2215.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0.5"
"C2F000","大肚","臺中市","大肚區","24.15295","120.57211","273.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"81T1C0","明利國小","花蓮縣","萬榮鄉","23.706388","121.4125","160.0","2024-11-11 08:10:00","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5"
"81T1B0","和仁車站","花蓮縣","秀林鄉","24.236166","121.7089","40.0","2024-11-11 08:10:00","0","0","0","0","0","0.5","0","1","9.5"
"81T1A0","崇德國小","花蓮縣","秀林鄉","24.161554","121.65304","20.0","2024-11-11 08:10:00","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","4.5"
"467280","後龍","苗栗縣","造橋鄉","24.648563","120.83183","30.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAV280","國三S378K","高雄市","田寮區","22.825958","120.41551","107.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAN150","國一N315K","臺南市","新市區","23.0835","120.25189","13.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAV270","國一S336K","高雄市","路竹區","22.894167","120.27117","23.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAM900","國三S290K","嘉義縣","竹崎鄉","23.504107","120.49074","47.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
"CAD710","國三N077K","新竹縣","關西鎮","24.797295","121.19003","218.0","2024-11-11 08:10:00","0","0","0","0","0","0","0","0","0"
